,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,Notes
Location,Day,Month,Day,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,
CRCE,Wednesday,1,31,595,4.51,9:26,09:28,6.344,42,39,0,0,0,,,0,0,595,4.51,42,39,
Arc,Thursday,2,1,676,5.17,9:04,09:05,6.614,46,54,0,0,0,,,0,0,676,5.17,46,54,
Ike,Friday,2,2,368,3.03,9:52,09:55,6.06,30,0,42,0.34,14:40,14:43,,5,0,410,3.37,35,0,
Ike,Saturday,2,3,681,5.68,8:47,08:49,6.816,50,0,24,0.33,15:01,15:10,,5,0,705,6.01,55,0,
,Sunday,2,4,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Hurt
Ike,Monday,2,5,405,3.37,8:52,08:55,6.74,30,0,25,0.33,15:04,15:10,,5,0,430,3.7,35,0,
Ike,Tuesday,2,6,770,6.43,8:23,08:24,7.144,54,0,24,0.33,14:58,15:10,,5,0,794,6.76,59,0,
Ike,Wednesday,2,7,206,1.54,16:22,16:24,3.659,25,15,0,0,0,,,0,0,206,1.54,25,15,Elliptical
CRCE,Thursday,2,8,698,5.88,7:38,07:40,7.84,45,0,24,0.33,15:04,15:10,3.96,5,0,722,6.21,50,0,HARD (for Hope!!)
Outside,Friday,2,9,0,4,7:40,07:40,7.826,30,40,0,0,0,,,0,0,0,4,30,40,Outside
Ike,Saturday,2,10,423,3.53,8:28,08:30,7.06,30,0,24,0.34,15:04,14:43,4.08,5,0,447,3.87,35,0,
Ike,Sunday,2,11,427,3.57,8:23,08:25,7.14,30,0,25,0.34,15:01,14:43,4.08,5,0,452,3.91,35,0,
Ike,Monday,2,12,598,5.02,8:10,08:11,7.346,41,0,25,0.33,15:01,15:10,3.96,5,0,623,5.35,46,0,
,Tuesday,2,13,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Fever / Off day
,Wednesday,2,14,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Fever / Bloody nose
Ike,Thursday,2,15,437,3.66,8:11,08:12,7.32,30,0,24,0.33,15:01,15:10,3.96,5,0,461,3.99,35,0,Almost 100%
Ike,Friday,2,16,64,0.53,8:01,08:11,7.338,4,20,10,0.14,14:46,14:18,4.2,2,0,74,0.67,6,20,"Tried running right after eating, would have thrown up"
Ike,Saturday,2,17,680,5.71,7:52,07:53,7.613,45,0,24,0.33,15:04,15:10,3.96,5,0,704,6.04,50,0,7AM (post Lion)
Ike,Saturday,2,17,525,4.39,8:11,08:13,7.316,36,0,24,0.34,15:01,14:43,4.08,5,0,549,4.73,41,0,6PM
Ike,Sunday,2,18,413,3.44,8:42,08:44,6.88,30,0,24,0.33,15:04,15:10,3.96,5,0,437,3.77,35,0,
,Monday,2,19,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Off day
Ike,Tuesday,2,20,423,3.53,8:29,08:30,7.06,30,0,24,0.33,15:01,15:10,3.96,5,0,447,3.86,35,0,Gassed
Ike,Wednesday,2,21,428,3.59,8:21,08:22,7.18,30,0,25,0.33,15:04,15:10,3.96,5,0,453,3.92,35,0,Could have had a PR day
Ike,Thursday,2,22,668,5.61,8:01,08:02,7.48,45,0,24,0.33,15:04,15:10,3.96,5,0,692,5.94,50,0,Left heel started hurting around 30th minute
Ike,Friday,2,23,423,3.53,8:28,08:30,7.06,30,0,24,0.34,15:04,14:43,4.08,5,0,447,3.87,35,0,12:05AM Saturday morning
Ike,Saturday,2,24,690,5.8,7:56,07:56,7.565,46,0,24,0.33,15:04,15:10,3.96,5,0,714,6.13,51,0,
Ike,Sunday,2,25,527,4.37,9:08,09:10,6.555,40,0,24,0.33,15:10,15:10,3.96,5,0,551,4.7,45,0,Legs still tired from yesterday. Supposed to be long run
,Monday,2,26,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Off day
Ike,Tuesday,2,27,443,3.71,8:21,08:22,7.18,31,0,24,0.33,15:04,15:10,3.96,5,0,467,4.04,36,0,
Ike,Wednesday,2,28,714,6.01,7:48,07:50,7.672,47,0,25,0.33,15:04,15:10,3.96,5,0,739,6.34,52,0,HARD (for Hope!!) Face was white after run
Ike,Thursday,3,1,340,2.84,8:29,08:31,7.055,24,9,24,0.32,15:01,15:04,3.986,4,49,364,3.16,28,58,Left achilles/  heel in much pain. Had to stop early
Ike,Friday,3,2,126,1.05,8:30,08:35,7,9,0,10,0.14,15:01,14:18,4.2,2,0,136,1.19,11,0,Left achilles/  heel in much pain. Had to stop early
Ike,Saturday,3,3,443,3.71,8:21,08:22,7.18,31,0,24,0.33,15:04,15:10,3.96,5,0,467,4.04,36,0,
Ike,Sunday,3,4,447,3.75,7:59,08:00,7.5,30,0,24,0.33,14:58,15:10,3.96,5,0,471,4.08,35,0,
Outside,Monday,3,5,324,3.25,8:41,08:41,6.91,28,13,0,0,0,,,0,0,324,3.25,28,13,Ran with Kassidy at practice. Achilles felt some pain. Much pain after practice
,Tuesday,3,6,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Off day
,Wednesday,3,7,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Off day
Ike,Thursday,3,8,428,3.59,8:21,08:22,7.18,30,0,5,0.06,15:01,16:41,3.6,1,0,433,3.65,31,0,Had to stop run early to poop. Couldn't even cool down. Pooped right before running too. Had milk for lunch
Ike,Friday,3,9,679,5.68,8:15,08:17,7.251,47,0,24,0.34,15:01,14:43,4.08,5,0,703,6.02,52,0,Tendon underneath right foot started hurting during 46th minute. No pain during the day though after run
Ike,Saturday,3,10,486,4.07,8:21,08:22,7.182,34,0,24,0.33,15:01,15:10,3.96,5,0,510,4.4,39,0,Happy Birthday to Hope
Soccer,Sunday,3,11,0,5.23,0,08:37,6.973,45,0,0,0,0,,,0,0,0,5.23,45,0,Didn't formally run but played soccer. Took a 25 minute walk to PAR Walked to PAR at about 1:40 and ended around at 3:45. Walk was about 1.2 miles. Got a ride back. Plugging in 45 minutes for mathematical purposes.
,Monday,3,12,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Off day
Ike,Tuesday,3,13,500,4.19,8:20,08:22,7.182,35,0,24,0.33,15:04,15:10,3.96,5,0,524,4.52,40,0,
Ike,Wednesday,3,14,715,6,7:59,08:00,7.5,48,0,24,0.33,15:04,15:10,3.96,5,0,739,6.33,53,0,Hard day. Legs felt good
Ike,Thursday,3,15,479,4.01,8:13,08:14,7.29,33,0,24,0.33,15:04,15:10,3.96,5,0,503,4.34,38,0,
Ike,Friday,3,16,695,5.82,8:14,08:15,7.275,48,0,24,0.33,14:58,15:10,3.96,5,0,719,6.15,53,0,Hard
,Saturday,3,17,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Off day
WN,Sunday,3,18,419,3.86,7:47,07:47,7.72,30,0,0,0.36,15:44,15:45,3.811,5,40,419,4.22,35,40,
Herrick,Monday,3,19,666,6.27,7:59,07:59,7.524,50,0,0,0.31,16:07,16:08,3.72,5,0,666,6.58,55,0,Hard. Heel started hurting during 46th and 49th minute. No pain during the day
Herrick,Tuesday,3,20,460,4.14,0,07:59,7.527,33,0,0,0.32,0,18:45,3.2,6,0,460,4.46,39,0,
,Wednesday,3,21,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Got back from the hospital very early this morning. Spent entire day in bed. Couldn't run. Bad diarrhea. Tried to eat soup
,Thursday,3,22,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Friday,3,23,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Herrick,Saturday,3,24,369,3.41,0,08:48,6.82,30,0,0,0.31,0,16:08,3.72,5,0,369,3.72,35,0,Running outside in cold is very hard. 33 degrees
Ike,Sunday,3,25,374,3.14,7:56,07:58,7.536,25,0,24,0.33,15:04,15:10,3.96,5,0,398,3.47,30,0,Side cramp around 24th minute
Ike,Monday,3,26,697,5.84,8:12,08:14,7.3,48,0,24,0.33,15:04,15:10,3.96,5,0,721,6.17,53,0,
Ike,Tuesday,3,27,477,4,8:14,08:15,7.272,33,0,24,0.33,15:04,15:10,3.96,5,0,501,4.33,38,0,
,Wednesday,3,28,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Thursday,3,29,695,5.82,8:14,08:15,7.275,48,0,24,0.33,15:01,15:10,3.96,5,0,719,6.15,53,0,
Ike,Friday,3,30,479,4.02,8:12,08:13,7.309,33,0,25,0.33,15:04,15:10,3.96,5,0,504,4.35,38,0,
Ike,Saturday,3,31,172,1.44,8:17,08:20,7.2,12,0,12,0.16,15:01,15:00,4,2,24,184,1.6,14,24,Tried getting in a run before the Final Four games. Stomach was still somewhat full from food. Ate at 12:30ish and ran around 3. Stomach cramps and had to end early.
Ike,Sunday,4,1,725,6.07,8:14,08:15,7.284,50,0,24,0.33,15:04,15:10,3.96,5,0,749,6.4,55,0,"If you want to be the best, you have to be willing to do what nobody has done."
Ike,Monday,4,2,479,4.01,8:13,08:14,7.29,33,0,24,0.33,14:58,15:10,3.96,5,0,503,4.34,38,0,"Legs sore hours after run. But if you wanna be great, you have to do what others aren't willing to do"
Ike,Tuesday,4,3,715,6,7:59,08:00,7.5,48,0,24,0.34,15:04,14:43,4.08,5,0,739,6.34,53,0,
Ike,Wednesday,4,4,479,4.01,8:12,08:14,7.29,33,0,24,0.34,15:04,14:43,4.08,5,0,503,4.35,38,0,
Soccer,Thursday,4,5,0,0,0,,,0,1,0,0,0,,,0,0,0,0,0,1,Didn't formally run but played 20 minutes in a soccer . Ankle hurt bad after game. I'm guessing that I ran about 2-3 miles over the 20 minutes
Ike,Friday,4,6,285,2.39,7:55,07:57,7.547,19,0,18,0.26,14:57,14:37,4.105,3,48,303,2.65,22,48,Ankle still hurts from soccer yesterday. Right heel also experienced pain underneath foot so I stopped the run early today.
Ike,Saturday,4,7,728,6.2,7:53,07:55,7.591,49,0,25,0.35,15:01,14:18,4.2,5,0,753,6.55,54,0,Hard. For Lex
Ike,Sunday,4,8,480,4.02,8:12,08:13,7.309,33,0,24,0.33,14:58,15:10,3.96,5,0,504,4.35,38,0,Felt great today
Ike,Monday,4,9,487,4.09,7:48,07:50,7.668,32,0,24,0.34,14:55,14:43,4.08,5,0,511,4.43,37,0,
,Tuesday,4,10,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Off day
Ike,Wednesday,4,11,755,6.34,7:54,07:54,7.608,50,0,24,0.34,14:58,14:43,4.08,5,0,779,6.68,55,0,Hard. For Lex
Ike,Thursday,4,12,480,4.04,7:54,07:56,7.575,32,0,24,0.33,15:04,15:10,3.96,5,0,504,4.37,37,0,Tired. But for you Lex.
Ike,Friday,4,13,747,6.41,7:47,07:49,7.692,50,0,24,0.33,15:04,15:10,3.96,5,0,771,6.74,55,0,
Ike,Saturday,4,14,0,3.63,0,08:00,7.51,29,0,0,0,0,,,0,0,0,3.63,29,0,GASSED. Meant to press Cool down but accidentally pressed STOP
,Sunday,4,15,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Monday,4,16,715,6,7:59,08:00,7.5,48,0,24,0.34,14:58,14:43,4.08,5,0,739,6.34,53,0,
Ike,Tuesday,4,17,477,4.01,7:58,07:59,7.518,32,0,24,0.33,15:04,15:10,3.96,5,0,501,4.34,37,0,
Ike,Wednesday,4,18,763,6.42,7:47,07:48,7.704,50,0,24,0.33,15:04,15:10,3.96,5,0,787,6.75,55,0,HARD for Bae-lexis
,Thursday,4,19,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,"Heart cramp after 5 minutes, off day"
Ike,Friday,4,20,479,4.01,8:13,08:14,7.29,33,0,24,0.33,15:04,15:10,3.96,5,0,503,4.34,38,0,
Ike,Saturday,4,21,478,4.01,7:58,07:59,7.518,32,0,24,0.33,14:58,15:10,3.96,5,0,502,4.34,37,0,
,Sunday,4,22,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Monday,4,23,774,6.52,7:39,07:41,7.824,50,0,24,0.33,14:57,15:10,3.96,5,0,798,6.85,55,0,
Ike,Tuesday,4,24,443,3.68,8:56,08:59,6.69,33,0,24,0.33,15:04,15:10,3.96,5,0,467,4.01,38,0,
,Wednesday,4,25,0,0,0:00,,,0,0,0,0,0:00,,,0,0,0,0,0,0,
Ike,Thursday,4,26,784,6.61,7:33,07:34,7.932,50,0,24,0.33,15:04,15:10,3.96,5,0,808,6.94,55,0,
Ike,Friday,4,27,353,2.96,8:11,08:13,7.313,24,17,24,0.32,15:01,15:10,3.958,4,51,377,3.28,29,8,
,Saturday,4,28,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Sunday,4,29,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Monday,4,30,723,6.08,7:48,07:49,7.68,47,30,24,0.33,15:01,15:10,3.96,5,0,747,6.41,52,30,Took a few days off from running because I've been so busy from finals.
,Tuesday,5,1,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Wednesday,5,2,478,4.02,7:57,07:58,7.537,32,0,24,7:55,15:04,15:10,3.96,5,0,502,4.35,37,0,
,Thursday,5,3,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Friday,5,4,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Saturday,5,5,287,2.44,8:11,08:12,7.32,20,0,20,0.26,14:57,15:24,3.9,4,0,307,2.7,24,0,
Ike,Sunday,5,6,477,4.01,7:58,07:59,7.518,32,0,24,0.33,15:04,15:10,3.96,5,0,501,4.34,37,0,
,Monday,5,7,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Tuesday,5,8,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Wednesday,5,9,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Thursday,5,10,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Friday,5,11,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Saturday,5,12,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Sunday,5,13,387,3.55,0,09:01,6.656,32,0,0,0.4,0,17:30,3.428,7,0,387,3.95,39,0,
,Monday,5,14,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Tuesday,5,15,401,3.67,0,08:11,7.34,30,0,0,0.33,0,15:34,3.857,5,8,401,4,35,8,
,Wednesday,5,16,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Thursday,5,17,406,3.78,0,08:13,7.316,31,0,0,0.27,0,16:40,3.6,4,30,406,4.05,35,30,
,Friday,5,18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Saturday,5,19,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Played volleyball at the Mamlic's house at Ryan's grad party and entire body was sore for days afterwards
,Sunday,5,20,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Monday,5,21,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Tuesday,5,22,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Wednesday,5,23,389,3.55,0,08:28,7.1,30,0,0,0.4,0,17:30,3.428,7,0,389,3.95,37,0,
,Thursday,5,24,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Friday,5,25,366,3.51,0,08:33,7.02,30,0,0,0.1,0,16:41,3.6,1,40,366,3.61,31,40,
,Saturday,5,26,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Sunday,5,27,388,3.53,0,08:30,7.06,30,0,0,0.37,0,16:13,3.7,6,0,388,3.9,36,0,91 degrees out
,Monday,5,28,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Tuesday,5,29,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Wednesday,5,30,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
