,,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,,,,,
,Wednesday,6,27,06/27/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Thursday,6,28,06/28/18,373,3.06,0,08:50,6.800,27,0,0,1.01,0,18:10,3.305,18,20,373,4.07,45,20,0:45:20,10:10 AM,,,
,Friday,6,29,06/29/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Saturday,6,30,06/30/18,279,2.69,0,08:34,7.017,23,0,0,0.13,0,15:24,3.900,2,0,279,2.82,25,0,0:25:00,11:00 AM,,,
Outside,Sunday,7,1,07/01/18,518,5.05,0,08:37,6.965,43,30,0,0.17,0,17:39,3.400,3,0,518,5.22,46,30,0:46:30,8:10 PM,,,
,Monday,7,2,07/02/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Tuesday,7,3,07/03/18,378,3.21,0,08:47,6.833,28,11,0,0.81,0,17:18,3.471,14,0,378,4.02,42,11,0:42:11,10:45 AM,,,
Outside,Wednesday,7,4,07/04/18,273,2.57,0,08:34,7.009,22,0,0,0.23,0,16:19,3.680,3,45,273,2.80,25,45,0:25:45,8:05 PM,,,
,Thursday,7,5,07/05/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Friday,7,6,07/06/18,524,5.17,0,08:31,7.050,44,0,0,0.07,0,17:52,3.360,1,15,524,5.24,45,15,0:45:15,11:00 AM,,,
,Saturday,7,7,07/07/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Sunday,7,8,07/08/18,622,6.02,0,07:52,7.630,47,20,0,0.19,0,17:59,3.336,3,25,622,6.21,50,45,0:50:45,6:10 PM,,,
,Monday,7,9,07/09/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Tuesday,7,10,07/10/18,401,3.85,0,08:35,7.000,33,0,0,0.21,0,16:40,3.600,3,30,401,4.06,36,30,0:36:30,6:00 PM,,,
,Wednesday,7,11,07/11/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Thursday,7,12,07/12/18,402,4.00,0,08:40,6.926,34,39,0,0.37,0,18:31,3.240,6,51,402,4.37,41,30,0:41:30,,,,
Outside,Friday,7,13,07/13/18,215,2.02,0,08:40,6.925,17,30,0,0.2,0,19:10,3.130,3,50,215,2.22,21,20,0:21:20,11:05 AM,,,
Outside,Saturday,7,14,07/14/18,430,4.21,0,09:02,6.647,38,0,0,0.14,0,18:28,3.251,2,35,430,4.35,40,35,0:40:35,5:50 PM,,,
,Sunday,7,15,07/15/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Monday,7,16,07/16/18,391,3.87,0,08:55,6.730,34,30,0,0.06,0,16:40,3.600,1,0,391,3.93,35,30,0:35:30,4:10 PM,,,
,Tuesday,7,17,07/17/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Wednesday,7,18,07/18/18,527,5.14,0,08:46,6.853,45,0,0,0.20,0,17:30,3.428,3,30,527,5.34,48,30,0:48:30,10:10 AM,,,
,Thursday,7,19,07/19/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Friday,7,20,07/20/18,561,5.47,0,08:58,6.697,49,0,0,0.22,0,18:57,3.168,4,10,561,5.69,53,10,0:53:10,10:25 AM,,,
,Saturday,7,21,07/21/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Sunday,7,22,07/22/18,379,3.31,0,08:28,7.092,28,0,0,0.68,0,17:39,3.400,12,0,379,3.99,40,0,0:40:00,6:20 PM,,,
,Monday,7,23,07/23/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Tuesday,7,24,07/24/18,641,6.23,0,08:50,6.796,55,0,0,0.28,0,17:52,3.360,5,0,641,6.51,60,0,1:00:00,6:05 PM,,,
,Wednesday,7,25,07/25/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Thursday,7,26,07/26/18,428,4.11,0,08:46,6.850,36,0,0,0.24,0,19:27,3.085,4,40,428,4.35,40,40,0:40:40,10:45 AM,,,
Outside,Friday,7,27,07/27/18,429,4.11,0,08:31,7.045,35,0,0,0.25,0,18:40,3.214,4,40,429,4.36,39,40,0:39:40,10:35 AM,,,
,Saturday,7,28,07/28/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Sunday,7,29,07/29/18,529,5.18,0,08:53,6.756,46,0,0,0.18,0,18:04,3.323,3,15,529,5.36,49,15,0:49:15,6:00 PM,,,
,Monday,7,30,07/30/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Tuesday,7,31,07/31/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Wednesday,8,1,08/01/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Thursday,8,2,08/02/18,431,4.11,0,08:31,7.045,35,0,0,0.27,0,16:40,3.600,4,30,431,4.38,39,30,0:39:30,5:05 PM,,,
,Friday,8,3,08/03/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Saturday,8,4,08/04/18,529,5.13,0,08:59,6.691,46,0,0,0.26,0,19:14,3.120,5,0,529,5.39,51,0,0:51:00,6:35 PM,,,
,Sunday,8,5,08/05/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Monday,8,6,08/06/18,57,0.53,0,08:30,7.066,4,30,0,0.04,0,12:30,4.800,0,30,57,0.57,5,0,0:05:00,11:00 AM,,,
,Tuesday,8,7,08/07/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Wednesday,8,8,08/08/18,431,4.18,0,09:06,6.600,38,0,0,0.21,0,19:03,3.150,4,0,431,4.39,42,0,0:42:00,10:20 AM,,,
,Thursday,8,9,08/09/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Friday,8,10,08/10/18,446,4.34,0,09:13,6.510,40,0,0,0.21,0,19:03,3.150,4,0,446,4.55,44,0,0:44:00,10:30 AM,,,
,Saturday,8,11,08/11/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Sunday,8,12,08/12/18,657,6.39,0,08:56,6.726,57,0,0,0.29,0,17:15,3.480,5,0,657,6.68,62,0,1:02:00,7:30 PM,,,
Outside,Monday,8,13,08/13/18,370,3.53,0,08:47,6.832,31,0,0,0.24,0,16:40,3.600,4,0,370,3.77,35,0,0:35:00,10:30 AM,,,
,Tuesday,8,14,08/14/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Wednesday,8,15,08/15/18,206,1.89,0,09:00,6.670,17,0,0,0.25,0,20:00,3.000,5,0,206,2.14,22,0,0:22:00,5:00 PM,,,
Outside,Thursday,8,16,08/16/18,434,4.17,0,08:24,7.148,35,0,0,0.21,0,19:03,3.150,4,0,434,4.38,39,0,0:39:00,5:40 PM,,,
Outside,Friday,8,17,08/17/18,436,4.24,0,08:30,7.066,36,0,0,0.16,0,18:45,3.200,3,0,436,4.40,39,0,0:39:00,7:00 PM,,,
,Saturday,8,18,08/18/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Sunday,8,19,08/19/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Monday,8,20,08/20/18,506,4.42,0,08:43,6.888,38,30,0,0.95,0,19:29,3.081,18,30,506,5.37,57,0,0:57:00,10:25 AM,,,
,Tuesday,8,21,08/21/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Wednesday,8,22,08/22/18,429,4.16,0,08:54,6.745,37,0,0,0.21,0,19:03,3.150,4,0,429,4.37,41,0,0:41:00,10:30 AM,,,
Outside,Thursday,8,23,08/23/18,432,4.18,0,08:52,6.778,37,0,0,0.21,0,19:03,3.150,4,0,432,4.39,41,0,0:41:00,10:35 AM,,,
,Friday,8,24,08/24/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Saturday,8,25,08/25/18,253,2.11,8:30,08:32,7.033,18,0,17,0.24,14:53,14:56,4.018,3,35,270,2.35,21,35,0:21:35,4:50 PM,,,
Ike,Sunday,8,26,08/26/18,487,4.08,8:19,08:20,7.200,34,0,25,0.33,15:04,15:10,3.960,5,0,512,4.41,39,0,0:39:00,6:00 PM,,,
,Monday,8,27,08/27/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Tuesday,8,28,08/28/18,480,4.01,8:28,08:29,7.076,34,0,24,0.33,15:04,15:10,3.960,5,0,504,4.34,39,0,0:39:00,4:20 PM,,,
Ike,Wednesday,8,29,08/29/18,487,4.07,8:20,08:22,7.182,34,0,24,0.33,14:58,15:10,3.960,5,0,511,4.40,39,0,0:39:00,7:15 PM,,,
,Thursday,8,30,08/30/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Friday,8,31,08/31/18,488,4.08,8:19,08:20,7.200,34,0,24,0.34,14:58,14:43,4.080,5,0,512,4.42,39,0,0:39:00,3:05 PM,,,
Ike,Saturday,9,1,09/01/18,517,4.34,7:49,07:51,7.658,34,0,24,0.34,14:58,14:43,4.080,5,0,541,4.68,39,0,0:39:00,9:45 AM,,,
Ike,Sunday,9,2,09/02/18,511,4.30,7:54,07:55,7.588,34,0,24,0.33,15:04,15:10,3.960,5,0,535,4.63,39,0,0:39:00,3:25 PM,,,
Ike,Monday,9,3,09/03/18,508,4.27,7:57,07:58,7.535,34,0,24,0.33,15:04,15:10,3.960,5,0,532,4.60,39,0,0:39:00,3:25 PM,,,
Ike,Tuesday,9,4,09/04/18,334,2.78,8:59,09:00,6.672,25,0,24,0.33,15:01,15:10,3.960,5,0,358,3.11,30,0,0:30:00,10:20 AM,,,
,Wednesday,9,5,09/05/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Elliptical,Thursday,9,6,09/06/18,229,1.51,11:14,11:16,5.329,17,0,20,0.27,12:14,12:36,4.764,3,24,249,1.78,20,24,0:20:24,10:50 AM,,,
Ike,Friday,9,7,09/07/18,487,4.08,8:19,08:20,7.200,34,0,24,0.33,15:04,15:10,3.960,5,0,511,4.41,39,0,0:39:00,11:50 AM,,,
Ike,Saturday,9,8,09/08/18,507,4.26,7:58,07:59,7.517,34,0,24,0.33,15:01,15:10,3.960,5,0,531,4.59,39,0,0:39:00,11:05 AM,,,
Ike,Sunday,9,9,09/09/18,512,4.30,7:53,07:55,7.588,34,0,24,0.33,15:04,15:10,3.960,5,0,536,4.63,39,0,0:39:00,10:20 AM,,,
,Monday,9,10,09/10/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Tuesday,9,11,09/11/18,523,4.40,7:42,07:44,7.764,34,0,24,0.34,15:04,14:43,4.080,5,0,547,4.74,39,0,0:39:00,11:05 AM,,,
Ike,Wednesday,9,12,09/12/18,507,4.26,7:58,07:59,7.517,34,0,25,0.34,15:04,14:43,4.080,5,0,532,4.60,39,0,0:39:00,4:40 PM,,,
Ike,Thursday,9,13,09/13/18,524,4.41,7:42,07:43,7.782,34,0,24,0.33,15:01,15:10,3.960,5,0,548,4.74,39,0,0:39:00,4:55 PM,,,
Ike,Friday,9,14,09/14/18,507,4.26,7:58,07:59,7.517,34,0,25,0.33,14:58,15:10,3.960,5,0,532,4.59,39,0,0:39:00,11:50 AM,,,
Ike,Saturday,9,15,09/15/18,372,3.11,8:21,08:22,7.176,26,0,24,0.33,14:58,15:10,3.960,5,0,396,3.44,31,0,0:31:00,10:00 AM,,,
Ike,Sunday,9,16,09/16/18,515,4.32,7:51,07:53,7.623,34,0,24,0.34,15:01,14:43,4.080,5,0,539,4.66,39,0,0:39:00,5:15 PM,,,
,Monday,9,17,09/17/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Tuesday,9,18,09/18/18,507,4.26,7:58,07:59,7.517,34,0,24,0.33,14:58,15:10,3.960,5,0,531,4.59,39,0,0:39:00,10:45 AM,,,
Elliptical,Wednesday,9,19,09/19/18,369,1.40,12:04,12:09,4.941,17,0,10,0.17,19:52,20:00,3.000,3,24,379,1.57,20,24,0:20:24,4:25 PM,,,
Ike,Thursday,9,20,09/20/18,557,4.72,7:12,07:13,8.329,34,0,25,0.33,14:57,15:10,3.960,5,0,582,5.05,39,0,0:39:00,5:45 PM,,,
Ike,Friday,9,21,09/21/18,300,2.52,7:55,07:57,7.560,20,0,19,0.26,14:57,15:24,3.900,4,0,319,2.78,24,0,0:24:00,11:20 AM,,,
Ike,Saturday,9,22,09/22/18,525,4.43,7:40,07:41,7.817,34,0,25,0.33,15:04,15:10,3.960,5,0,550,4.76,39,0,0:39:00,12:10 PM,,,
Ike,Sunday,9,23,09/23/18,509,4.28,7:56,07:57,7.552,34,0,24,0.33,15:04,15:10,3.960,5,0,533,4.61,39,0,0:39:00,10:05 AM,,,
,Monday,9,24,09/24/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Tuesday,9,25,09/25/18,510,4.28,7:55,07:57,7.552,34,0,24,0.34,15:01,14:43,4.080,5,0,534,4.62,39,0,0:39:00,10:55 AM,,,
Ike,Wednesday,9,26,09/26/18,550,4.65,7:18,07:19,8.205,34,0,24,0.33,15:01,15:10,3.960,5,0,574,4.98,39,0,0:39:00,4:40 PM,,,
Ike,Thursday,9,27,09/27/18,509,4.27,7:56,07:58,7.535,34,0,24,0.34,14:58,14:43,4.080,5,0,533,4.61,39,0,0:39:00,4:55 PM,,,
Ike,Friday,9,28,09/28/18,187,1.57,7:55,07:58,7.536,12,30,12,0.17,15:01,14:43,4.080,2,30,199,1.74,15,0,0:15:00,11:10 AM,,,
Arc,Saturday,9,29,09/29/18,581,4.48,0,07:36,7.905,34,0,28,0.34,0,14:43,4.080,5,0,609,4.82,39,0,0:39:00,10:10 AM,,,
Ike,Sunday,9,30,09/30/18,509,4.28,7:56,07:57,7.552,34,0,35,0.33,14:56,15:10,3.960,5,0,544,4.61,39,0,0:39:00,10:50 AM,,,
,Monday,10,1,10/01/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Tuesday,10,2,10/02/18,510,4.28,7:56,07:57,7.552,34,0,24,0.33,14:58,15:10,3.960,5,0,534,4.61,39,0,0:39:00,11:00 AM,,,
Ike,Wednesday,10,3,10/03/18,553,4.67,7:16,07:17,8.241,34,0,24,0.34,14:57,14:43,4.080,5,0,577,5.01,39,0,0:39:00,4:35 PM,,,
Ike,Thursday,10,4,10/04/18,510,4.28,7:55,07:57,7.552,34,0,24,0.34,14:58,14:43,4.080,5,0,534,4.62,39,0,0:39:00,11:00 AM,,,
Ike,Friday,10,5,10/05/18,510,4.29,7:55,07:56,7.570,34,0,23,0.33,15:04,15:10,3.960,5,0,533,4.62,39,0,0:39:00,11:30 AM,,,
Ike,Saturday,10,6,10/06/18,257,2.16,7:52,07:53,7.623,17,0,16,0.22,14:52,15:28,3.882,3,24,273,2.38,20,24,0:20:24,5:00 PM,,,
Ike,Sunday,10,7,10/07/18,510,4.28,7:55,07:57,7.552,34,0,24,0.34,14:58,14:43,4.080,5,0,534,4.62,39,0,0:39:00,10:20 AM,,,
,Monday,10,8,10/08/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Tuesday,10,9,10/09/18,838,7.00,8:34,08:35,7.000,60,0,24,0.33,15:04,15:10,3.960,5,0,862,7.33,65,0,1:05:00,10:00 AM,,,
Ike,Wednesday,10,10,10/10/18,510,4.28,7:55,07:57,7.552,34,0,24,0.34,15:04,14:43,4.080,5,0,534,4.62,39,0,0:39:00,4:40 PM,,,
Ike,Thursday,10,11,10/11/18,645,5.40,8:19,08:20,7.200,45,0,24,0.33,15:04,15:10,3.960,5,0,669,5.73,50,0,0:50:00,11:15 AM,,,
Ike,Friday,10,12,10/12/18,482,4.03,8:35,08:27,7.111,34,0,17,0.23,15:05,15:22,3.905,3,32,499,4.26,37,32,0:37:32,11:25 AM,,,
Ike,Saturday,10,13,10/13/18,693,5.78,8:38,08:40,6.936,50,0,24,0.33,14:58,15:10,3.960,5,0,717,6.11,55,0,0:55:00,9:45 AM,,,
Ike,Sunday,10,14,10/14/18,259,2.21,6:47,06:48,8.840,15,0,15,0.19,15:06,15:48,3.800,3,0,274,2.40,18,0,0:18:00,10:05 AM,,,
,Monday,10,15,10/15/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Tuesday,10,16,10/16/18,511,4.29,7:54,07:56,7.570,34,0,24,0.34,14:58,14:43,4.080,5,0,535,4.63,39,0,0:39:00,11:15 AM,,,
,Wednesday,10,17,10/17/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Thursday,10,18,10/18/18,842,7.03,8:31,08:33,7.030,60,0,24,0.33,15:04,15:10,3.960,5,0,866,7.36,65,0,1:05:00,9:30 AM,,,
Ike,Friday,10,19,10/19/18,593,5.02,7:09,07:11,8.366,36,0,24,0.34,14:57,14:43,4.080,5,0,617,5.36,41,0,0:41:00,11:20 AM,,,
,Saturday,10,20,10/20/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Sunday,10,21,10/21/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Monday,10,22,10/22/18,510,4.28,7:55,07:57,7.552,34,0,24,0.34,14:58,14:43,4.080,5,0,534,4.62,39,0,0:39:00,5:10 PM,,,
Ike,Tuesday,10,23,10/23/18,650,5.45,8:15,08:16,7.266,45,0,24,0.33,15:04,15:10,3.960,5,0,674,5.78,50,0,0:50:00,9:10 AM,,,
Ike,Wednesday,10,24,10/24/18,510,4.29,7:55,07:56,7.570,34,0,24,0.33,15:04,15:10,3.960,5,0,534,4.62,39,0,0:39:00,4:50 PM,,,
Ike,Thursday,10,25,10/25/18,657,5.50,8:10,08:11,7.333,45,0,24,0.34,15:04,14:43,4.080,5,0,681,5.84,50,0,0:50:00,11:20 AM,,,
Ike,Friday,10,26,10/26/18,510,4.28,7:55,07:57,7.552,34,0,24,0.34,14:58,14:43,4.080,5,0,534,4.62,39,0,0:39:00,11:15 AM,,,
Ike,Saturday,10,27,10/27/18,248,2.07,8:41,08:42,6.900,18,0,18,0.24,14:58,15:00,4.000,3,36,266,2.31,21,36,0:21:36,10:30 AM,,,
Ike,Sunday,10,28,10/28/18,873,7.31,8:12,08:13,7.310,60,0,24,0.34,14:58,14:43,4.080,5,0,897,7.65,65,0,1:05:00,10:35 AM,,,
,Monday,10,29,10/29/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Tuesday,10,30,10/30/18,660,5.53,8:07,08:09,7.373,45,0,24,0.33,15:04,15:10,3.960,5,0,684,5.86,50,0,0:50:00,9:20 AM,,,
Ike,Wednesday,10,31,10/31/18,510,4.29,7:55,07:56,7.570,34,0,24,0.33,15:04,15:10,3.960,5,0,534,4.62,39,0,0:39:00,,,,
Ike,Thursday,11,1,11/01/18,650,5.44,8:15,08:17,7.253,45,0,24,0.33,15:04,15:10,3.960,5,0,674,5.77,50,0,0:50:00,11:15 AM,,,
Ike,Friday,11,2,11/02/18,510,4.28,7:55,07:57,7.552,34,0,24,0.34,14:58,14:43,4.080,5,0,534,4.62,39,0,0:39:00,11:10 AM,,,
Ike,Saturday,11,3,11/03/18,280,2.34,8:32,08:33,7.020,20,0,19,0.26,14:58,15:24,3.900,4,0,299,2.60,24,0,0:24:00,10:50 AM,,,
Ike,Sunday,11,4,11/04/18,873,7.31,8:12,08:13,7.310,60,0,24,0.33,15:01,15:10,3.960,5,0,897,7.64,65,0,1:05:00,9:30 AM,,,
Ike,Monday,11,5,11/05/18,540,4.54,"7:50, 7:58",07:56,7.566,35,60,20,0.27,14:57,15:12,3.951,4,6,560,4.81,40,6,0:40:06,4:50 PM,,,
Ike,Tuesday,11,6,11/06/18,665,5.56,8:15,08:17,7.252,46,0,24,0.34,15:04,14:43,4.080,5,0,689,5.90,51,0,0:51:00,9:15 AM,,,
Ike,Wednesday,11,7,11/07/18,510,4.28,7:55,07:57,7.552,34,0,24,0.33,15:04,15:10,3.960,5,0,534,4.61,39,0,0:39:00,4:35 PM,,,
Ike,Thursday,11,8,11/08/18,735,6.16,8:06,08:08,7.392,50,0,24,0.33,15:04,15:10,3.960,5,0,759,6.49,55,0,0:55:00,11:20 AM,,,
Ike,Friday,11,9,11/09/18,510,4.28,7:55,07:57,7.552,34,0,24,0.34,14:58,14:43,4.080,5,0,534,4.62,39,0,0:39:00,11:10 AM,,,
Ike,Saturday,11,10,11/10/18,283,2.36,8:27,08:29,7.080,20,0,19,0.27,14:58,14:49,4.050,4,0,302,2.63,24,0,0:24:00,9:40 AM,,,
Ike,Sunday,11,11,11/11/18,904,7.60,7:53,07:54,7.600,60,0,25,0.33,15:01,15:10,3.960,5,0,929,7.93,65,0,1:05:00,10:10 AM,,,
,Monday,11,12,11/12/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Tuesday,11,13,11/13/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Wednesday,11,14,11/14/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Thursday,11,15,11/15/18,667,5.60,8:01,08:03,7.466,45,0,24,0.33,15:04,15:10,3.960,5,0,691,5.93,50,0,0:50:00,10:20 AM,,,
Ike,Friday,11,16,11/16/18,510,4.28,7:55,07:57,7.552,34,0,24,0.34,14:58,14:43,4.080,5,0,534,4.62,39,0,0:39:00,11:20 AM,,,
