,,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,,,,,
,Thursday,4,25,04/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,4,26,04/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,4,27,04/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,4,28,04/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,4,29,04/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,4,30,04/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,1,05/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,5,2,05/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,5,3,05/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,5,4,05/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,5,5,05/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,5,6,05/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,5,7,05/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,8,05/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,5,9,05/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,5,10,05/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,5,11,05/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,5,12,05/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,5,13,05/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,5,14,05/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,15,05/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,5,16,05/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,5,17,05/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,5,18,05/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,5,19,05/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,5,20,05/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,5,21,05/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,22,05/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,5,23,05/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,5,24,05/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,5,25,05/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,5,26,05/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,5,27,05/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,5,28,05/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,29,05/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,5,30,05/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,5,31,05/31/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,6,1,06/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,6,2,06/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,6,3,06/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,6,4,06/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,6,5,06/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,6,6,06/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,6,7,06/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,6,8,06/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,6,9,06/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,6,10,06/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,6,11,06/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,6,12,06/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,6,13,06/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,6,14,06/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,6,15,06/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,6,16,06/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,6,17,06/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,6,18,06/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,6,19,06/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,6,20,06/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,6,21,06/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,6,22,06/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,6,23,06/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,6,24,06/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,6,25,06/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,6,26,06/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,6,27,06/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,6,28,06/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,6,29,06/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,6,30,06/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,7,1,07/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,7,2,07/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,7,3,07/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,7,4,07/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,7,5,07/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,7,6,07/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,7,7,07/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,7,8,07/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,7,9,07/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,7,10,07/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,7,11,07/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,7,12,07/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,7,13,07/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,7,14,07/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,7,15,07/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,7,16,07/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,7,17,07/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,7,18,07/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,7,19,07/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,7,20,07/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,7,21,07/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,7,22,07/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,7,23,07/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,7,24,07/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,7,25,07/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,7,26,07/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,7,27,07/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,7,28,07/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,7,29,07/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,7,30,07/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,7,31,07/31/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,8,1,08/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,8,2,08/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,8,3,08/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,8,4,08/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,8,5,08/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,8,6,08/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,8,7,08/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,8,8,08/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,8,9,08/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,8,10,08/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,8,11,08/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,8,12,08/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,8,13,08/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,8,14,08/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,8,15,08/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,8,16,08/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,8,17,08/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,8,18,08/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,8,19,08/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,8,20,08/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,8,21,08/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,8,22,08/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,8,23,08/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,8,24,08/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,8,25,08/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,8,26,08/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,8,27,08/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,8,28,08/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,8,29,08/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,8,30,08/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,8,31,08/31/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,9,1,09/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,9,2,09/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,9,3,09/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,9,4,09/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,9,5,09/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,9,6,09/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,9,7,09/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,9,8,09/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,9,9,09/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,9,10,09/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,9,11,09/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,9,12,09/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,9,13,09/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,9,14,09/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,9,15,09/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,9,16,09/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,9,17,09/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,9,18,09/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,9,19,09/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,9,20,09/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,9,21,09/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,9,22,09/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,9,23,09/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,9,24,09/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,9,25,09/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,9,26,09/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,9,27,09/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,9,28,09/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,9,29,09/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,9,30,09/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,10,1,10/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,10,2,10/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,10,3,10/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,10,4,10/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,10,5,10/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,10,6,10/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,10,7,10/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,10,8,10/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,10,9,10/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,10,10,10/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,10,11,10/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,10,12,10/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,10,13,10/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,10,14,10/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,10,15,10/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,10,16,10/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,10,17,10/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,10,18,10/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,10,19,10/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,10,20,10/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,10,21,10/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,10,22,10/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,10,23,10/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,10,24,10/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,10,25,10/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,10,26,10/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,10,27,10/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,10,28,10/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,10,29,10/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,10,30,10/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,10,31,10/31/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,11,1,11/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,11,2,11/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,11,3,11/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,11,4,11/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,11,5,11/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,11,6,11/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,11,7,11/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,11,8,11/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,11,9,11/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,11,10,11/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,11,11,11/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,11,12,11/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,11,13,11/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,11,14,11/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,11,15,11/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,11,16,11/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,11,17,11/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,11,18,11/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,11,19,11/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,11,20,11/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,11,21,11/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,11,22,11/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,11,23,11/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,11,24,11/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,11,25,11/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,11,26,11/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,11,27,11/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,11,28,11/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,11,29,11/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,11,30,11/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,12,1,12/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,12,2,12/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,12,3,12/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,12,4,12/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,12,5,12/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,12,6,12/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,12,7,12/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,12,8,12/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,12,9,12/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,12,10,12/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,12,11,12/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,12,12,12/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,12,13,12/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,12,14,12/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,12,15,12/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,12,16,12/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,12,17,12/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,12,18,12/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,12,19,12/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,12,20,12/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,12,21,12/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,12,22,12/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,12,23,12/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,12,24,12/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,12,25,12/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,12,26,12/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,12,27,12/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,12,28,12/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,12,29,12/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,12,30,12/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,12,31,12/31/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,