Year,Game,Seed,Team
2024,S16_1,1,UConn
2024,S16_1,5,San Diego State
2024,S16_2,3,Illinois
2024,S16_2,2,Iowa State
2024,S16_3,1,UNC
2024,S16_3,4,Alabama
2024,S16_4,6,Clemson
2024,S16_4,2,Arizona
2024,S16_5,1,Houston
2024,S16_5,4,Duke
2024,S16_6,11,NC State
2024,S16_6,2,Marquette
2024,S16_7,1,Purdue
2024,S16_7,5,Gonzaga
2024,S16_8,3,Creighton
2024,S16_8,2,Tennessee
2025,S16_1,1,Auburn
2025,S16_1,5,Michigan
2025,S16_2,6,Ole Miss
2025,S16_2,2,Michigan State
2025,S16_3,1,Florida
2025,S16_3,4,Maryland
2025,S16_4,6,Texas Tech
2025,S16_4,10,Arkansas
2025,S16_5,1,Duke
2025,S16_5,4,Arizona
2025,S16_6,6,BYU
2025,S16_6,2,Alabama
2025,S16_7,1,Houston
2025,S16_7,4,Purdue
2025,S16_8,3,Kentucky
2025,S16_8,2,Tennesee