Year,Player,StartingPoints,S16_1,S16_2,S16_3,S16_4,S16_5,S16_6,S16_7,S16_8,E8_1,E8_2,E8_3,E8_4,F4_1,F4_2,Champion
2024,Kevin,490,UConn,Iowa State,UNC,Arizona,Houston,Kentucky,Purdue,Tennesse,UConn,Arizona,Houston,Tennessee,UConn,Houston,UConn
2024,Andy,480,UConn,Illinois,Alabama,Arizona,Houston,Marquette,Gonzaga,Creighton,UConn,Arizona,Houston,Creighton,UConn,Houston,UConn
2024,Daniel,420,UConn,Iowa State,UNC,Baylor,Houston,Kentucky,Purdue,Tennesse,UConn,Baylor,Houston,Tennessee,UConn,Houston,Houston
2024,Vic,370,UConn,Iowa State,St. Mary's,Arizona,Wisconsin,Marquette,Gonzaga,South Carolina,UConn,Arizona,Marquette,South Carolina,UConn,Marquette,UConn
2024,Chris,370,UConn,Iowa State,UNC,Arizona,Houston,Marquette,Purdue,Tennesse,UConn,Arizona,Houston,Purdue,UConn,Houston,UConn
2024,Shep,370,UConn,Iowa State,Alabama,New Mexico,Houston,Kentucky,McNeese,Creighton,UConn,Alabama,Houston,Creighton,UConn,Houston,UConn
2024,Ben,340,UConn,Illinois,UNC,Arizona,Houston,Texas Tech,Purdue,Creighton,Illinois,Arizona,Houston,Purdue,Illinois,Houston,Illinois
2024,Meghna,270,Auburn,Iowa State,Alabama,Arizona,Duke,Marquette,Kansas,Tennesse,Iowa State,Arizona,Marquette,Tennessee,Iowa State,Marquette,Iowa State
2025,Kevin,500,Auburn,Michigan State,Florida,St. John's,Duke,Alabama,Houston,Tennesse,Michigan State,Florida,Duke,Houston,Florida,Duke,Florida
2025,Andy,490,Auburn,Iowa State,Florida,Texas Tech,Duke,Alabama,Houston,Tennesse,Auburn,Florida,Duke,Tennessee,Florida,Duke,Duke
2025,Daniel,500,Michigan,Michigan State,Florida,St. John's,Duke,Wisconsin,Houston,Kentucky,Michigan State,St. John's,Duke,Houston,St. John's,Duke,Duke
2025,Vic,490,Michigan,Michigan State,Florida,Texas Tech,Duke,Wisconsin,Houston,Kentucky,Michigan State,Texas Tech,Duke,Houston,Texas Tech,Houston,Houston
2025,Chris,460,Auburn,Michigan State,Florida,St. John's,Duke,Wisconsin,Houston,Tennesse,Michigan State,St. John's,Duke,Houston,St. John's,Duke,Duke
2025,Shep,440,Auburn,Michigan State,Florida,Texas Tech,Duke,Alabama,Houston,Tennesse,Auburn,Florida,Duke,Tennessee,Florida,Duke,Duke
2025,Ben,460,Auburn,Michigan State,Florida,Kansas,Duke,Alabama,Gonzaga,Illinois,Michigan State,Florida,Alabama,Illinois,Florida,Alabama,Florida
2025,Meghna,440,Auburn,Michigan State,Florida,St. John's,Duke,Alabama,Houston,Tennesse,Auburn,St. John's,Alabama,Houston,St. John's,Houston,Houston
2025,Michael,470,Auburn,Michigan State,Florida,St. John's,Duke,Alabama,Houston,Tennesse,Michigan State,Florida,Duke,Houston,Michigan State,Duke,Michigan State
2025,Priscilla,500,Auburn,Michigan State,Florida,St. John's,Duke,Wisconsin,Houston,Tennesse,Auburn,St. John's,Duke,Houston,Auburn,Duke,Duke
2025,Emily,420,Michigan,Ole Miss,Florida,Texas Tech,Oregon,Wisconsin,Purdue,Kentucky,Michigan,Texas Tech,Wisconsin,Kentucky,Michigan,Kentucky,Michigan
2025,Manu,490,Auburn,Michigan State,Florida,St. John's,Duke,Alabama,Houston,Tennesse,Auburn,Florida,Duke,Houston,Florida,Duke,Duke
2025,Thomas,440,Auburn,Michigan State,Florida,Texas Tech,Arizona,BYU,Houston,Kentucky,Michigan State,Florida,BYU,Houston,Florida,Houston,Florida
2025,Amanda,300,Michigan,Marquette,Memphis,St. John's,Liberty,Wisconsin,Gonzaga,Tennesse,Michigan,St. John's,Wisconsin,Tennessee,St. John's,Wisconsin,Wisconsin
2025,Hugo,490,Texas A&M,Michigan State,Florida,Texas Tech,Arizona,BYU,Houston,Illinois,Texas A&M,Texas Tech,BYU,Illinois,Texas Tech,BYU,Texas Tech